40,10070,1,1
40,42450,2,1
40,33198,3,1
40,34866,4,1
214,5499,1,0
214,8424,2,0
214,37053,3,0
214,24852,4,1
214,21329,5,0
214,25093,6,1
214,25043,7,0
214,25890,8,1
214,40545,9,0
1483,32818,1,1
1483,27582,2,1
1483,12302,3,1
1483,1831,4,1
1483,19204,5,1
1483,10180,6,1
1483,1545,7,1
1483,18352,8,1
1483,16464,9,1
1483,5531,10,0
1483,7118,11,0
1483,20985,12,1
2199,24852,1,0
2199,17616,2,1
2199,47877,3,0
2199,33313,4,0
2199,651,5,0
2199,16953,6,1
2199,49615,7,1
2199,42972,8,1
2199,7693,9,0
2199,24600,10,1
2199,18811,11,1
2199,6128,12,1
2199,36393,13,1
2199,35518,14,1
2199,47144,15,1
2593,13176,1,1
2593,5612,2,1
2593,8193,3,0
2593,32486,4,0
2593,47209,5,1
3449,22888,1,0
3449,45223,2,1
3449,21137,3,1
3449,24333,4,1
3449,27872,5,1
3452,12953,1,1
3927,10960,1,0
3927,48328,2,0
3927,2078,3,1
3927,10948,4,0
3927,31553,5,1
3927,5876,6,1
3927,28842,7,1
3927,20114,8,1
3927,18159,9,1
3927,19820,10,1
3927,13083,11,1
3927,39984,12,1
3927,21903,13,1
3927,40706,14,1
3927,38439,15,1
3927,35547,16,1
3927,22963,17,1
3927,22672,18,1
3927,2626,19,0
3927,18531,20,1
3927,29274,21,0
3927,4506,22,0
3927,44359,23,1
3927,11136,24,1
3927,48017,25,0
3927,8174,26,1
3927,43789,27,1
4163,38318,1,1
4163,28599,2,1
4163,20320,3,0
4163,432,4,1
4163,41008,5,1
4307,25557,1,0
4595,31829,1,0
4595,32226,2,0
4595,8143,3,1
4595,20738,4,0
4595,8832,5,0
4890,24852,1,1
4890,47626,2,1
4890,4957,3,1
4890,33754,4,1
4890,46676,5,1
4890,22124,6,1
4890,24838,7,1
5293,7628,1,0
5293,34197,2,0
5293,24852,3,0
5293,5746,4,0
5293,42701,5,0
5640,13874,1,0
5640,28137,2,1
5640,35522,3,1
5640,31869,4,1
5640,3957,5,1
5640,12384,6,1
5640,47209,7,1
5640,39968,8,1
5640,33120,9,1
5640,30795,10,1
5640,42342,11,1
5640,7673,12,1
6524,10644,1,1
6524,12018,2,0
6524,6218,3,1
6524,3274,4,1
6524,47943,5,1
6524,14897,6,1
6524,21295,7,1
6524,22475,8,0
6524,26209,9,1
6524,27104,10,1
6524,27521,11,1
6524,45007,12,1
6524,21334,13,0
6524,25659,14,0
6524,17721,15,1
6524,25890,16,1
6524,9839,17,1
6524,33198,18,1
6524,21137,19,1
6524,31717,20,1
6524,11182,21,1
6524,34530,22,0
6524,14976,23,0
6524,30391,24,1
7099,6799,1,0
7099,8580,2,0
7099,31231,3,0
7099,1185,4,0
7099,44051,5,0
7099,11123,6,0
7099,33787,7,1
7099,33754,8,1
7099,46676,9,1
7099,22124,10,1
7099,14233,11,1
7099,5708,12,0
7099,30908,13,1
8382,3873,1,0
8382,28199,2,0
8382,42372,3,0
8382,23106,4,0
8382,33819,5,0
8382,3108,6,0
8382,42959,7,0
8382,7883,8,0
8382,3919,9,0
9841,21137,1,0
9841,11365,2,1
9841,21288,3,1
9841,43352,4,1
9841,20345,5,1
9841,7862,6,1
9841,30827,7,0
10077,19660,1,1
10077,24838,2,0
10077,43086,3,1
10077,30406,4,1
10077,19613,5,0
10077,13176,6,1
10077,32864,7,0
10077,13093,8,0
10077,42294,9,1
10077,6061,10,0
10077,40120,11,1
10077,41570,12,1
10077,45819,13,1
10077,5982,14,1
10077,35167,15,1
10077,44761,16,1
10077,43789,17,1
10077,9766,18,1
10077,31343,19,0
10423,47209,1,1
10423,34243,2,1
10423,36929,3,1
10423,13176,4,1
10423,38274,5,1
10423,21903,6,1
10423,2124,7,1
10837,8479,1,0
10837,27344,2,0
10837,11046,3,0
10837,13176,4,1
10837,18382,5,0
10985,8859,1,0
10985,22802,2,0
10985,33000,3,0
11333,44359,1,1
11333,36550,2,1
11348,1158,1,1
11348,32706,2,1
11348,19048,3,1
11348,34584,4,1
11348,47766,5,1
11348,43928,6,1
11348,34574,7,1
11348,47526,8,1
11348,45007,9,1
11348,48745,10,1
11348,44375,11,1
11348,35547,12,1
11348,13176,13,1
11348,44632,14,1
11348,46802,15,1
11348,7361,16,1
12218,19116,1,0
12278,49615,1,1
12278,39479,2,0
12278,41236,3,0
12278,28805,4,0
12278,29694,5,0
12278,27307,6,1
12278,47144,7,1
12278,21878,8,0
12278,32033,9,0
12278,36393,10,1
12404,40777,1,1
12404,17847,2,1
12404,13176,3,1
12404,38159,4,1
12404,47209,5,1
12404,27966,6,1
12404,39275,7,1
12404,5322,8,1
12404,6069,9,1
12404,6719,10,1
12659,30489,1,1
12659,24852,2,1
12659,39928,3,1
12659,35547,4,1
12659,49075,5,1
12659,43961,6,1
12659,4920,7,1
12659,32734,8,0
12659,27304,9,1
12659,41541,10,1
12659,36918,11,0
12659,23909,12,1
12659,21292,13,1
12659,4799,14,1
12659,6692,15,0
12659,10504,16,0
12659,37220,17,1
12659,35004,18,0
12659,17600,19,0
12659,36865,20,0
12659,38312,21,0
12659,28465,22,0
12659,920,23,0
13107,3308,1,1
13107,8309,2,1
13107,28465,3,1
13107,13176,4,1
13107,11422,5,0
13107,5535,6,1
13107,43961,7,0
13107,23535,8,0
13107,17631,9,0
13107,40910,10,0
13107,9324,11,0
13107,19625,12,0
13107,10005,13,0
13107,27737,14,0
13107,29116,15,0
13107,128,16,0
13107,32335,17,0
13107,270,18,0
13107,2097,19,0
13118,31981,1,1
13118,44799,2,1
13118,42633,3,1
13118,13029,4,1
13118,24852,5,1
13118,14280,6,1
13118,9076,7,0
13118,48805,8,0
13118,47890,9,1
13118,4605,10,1
13118,39059,11,0
13118,18284,12,0
13731,6901,1,1
14197,47209,1,1
14197,33089,2,0
14197,7401,3,0
14197,29195,4,1
14197,26209,5,1
14400,30415,1,0
14400,1654,2,0
14400,11079,3,1
16785,16464,1,1
16785,10673,2,1
16785,40531,3,1
16785,40332,4,1
16785,8769,5,1
16785,26700,6,1
16785,29646,7,1
16785,1674,8,1
16785,46138,9,1
16785,47366,10,1
16785,34300,11,1
16785,16855,12,1
17338,26940,1,0
17338,41556,2,0
17338,45143,3,0
17338,4367,4,0
17338,27744,5,0
17338,33000,6,0
17338,2078,7,0
17338,31506,8,0
17338,5876,9,0
17338,32689,10,0
17338,45007,11,0
